"Population and dwelling counts: Canada and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-01"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation","Province or territory abbreviation"
"Division No.  8, Subd. D","SNO","N.L.","5","10","-50.0","23","39","-41.0","3","5","-40.0","20.11","0.2","4,760","364"
"Division No.  8, Subd. E","SNO","N.L.","496","548","-9.5","817","785","4.1","261","255","2.4","707.99","0.7","2,948","161"
"Division No.  8, Subd. F","SNO","N.L.","867","930","-6.8","453","492","-7.9","355","379","-6.3","106.35","8.2","2,285","89"
"Division No.  8, Subd. G","SNO","N.L.","409","433","-5.5","564","556","1.4","202","207","-2.4","521.39","0.8","3,154","179"
"Division No.  8, Subd. H","SNO","N.L.","1,788","1,900","-5.9","1,165","1,171","-0.5","826","852","-3.1","178.01","10.0","1,488","47"
"Division No.  8, Subd. I","SNO","N.L.","163","216","-24.5","128","142","-9.9","74","95","-22.1","8.97","18.2","3,997","288"
"Division No.  8, Subd. L","SNO","N.L.","2,772","3,060","-9.4","1,972","1,993","-1.1","1,250","1,298","-3.7","1,315.12","2.1","1,103","28"
"Division No.  8, Subd. M","SNO","N.L.","141","130","8.5","143","175","-18.3","67","57","17.5","658.70","0.2","4,093","300"
"Division No.  8, Subd. O","SNO","N.L.","275","309","-11.0","181","183","-1.1","117","124","-5.6","409.66","0.7","3,597","232"
"Division No.  8, Subd. P","SNO","N.L.","297","337","-11.9","261","354","-26.3","145","158","-8.2","379.19","0.8","3,519","221"
"Embree","T","N.L.","679","701","-3.1","327","331","-1.2","288","287","0.3","18.35","37.0","2,563","111"
"Fleur de Lys","T","N.L.","207","244","-15.2","159","157","1.3","116","118","-1.7","39.54","5.2","3,847","260"
"Fogo Island","T","N.L.","2,117","2,244","-5.7","1,450","1,460","-0.7","964","979","-1.5","238.25","8.9","1,334","38"
"King's Point","T","N.L.","653","659","-0.9","336","332","1.2","290","275","5.5","45.72","14.3","2,611","116"
"LaScie","T","N.L.","820","872","-6.0","407","429","-5.1","364","381","-4.5","29.16","28.1","2,338","94"
"Leading Tickles","T","N.L.","296","292","1.4","189","150","26.0","138","126","9.5","26.59","11.1","3,524","223"
"Lewisporte","T","N.L.","3,288","3,409","-3.5","1,632","1,582","3.2","1,431","1,456","-1.7","36.02","91.3","977","21"
"Little Bay","T","N.L.","100","105","-4.8","69","72","-4.2","49","49","0.0","1.66","60.4","4,252","320"
"Little Bay Islands","T","N.L.","0","71","-100.0","1","117","-99.1","1","40","-97.5","7.34","0.0","4,831","366"
"Little Burnt Bay","T","N.L.","238","281","-15.3","138","144","-4.2","107","119","-10.1","8.46","28.1","3,724","248"
"Lumsden","T","N.L.","535","501","6.8","305","295","3.4","226","212","6.6","19.20","27.9","2,859","150"
"Lushes Bight-Beaumont-Beaumont North","T","N.L.","169","168","0.6","150","154","-2.6","96","96","0.0","34.52","4.9","3,980","286"
"Middle Arm","T","N.L.","443","474","-6.5","192","195","-1.5","175","183","-4.4","24.93","17.8","3,067","168"
"Miles Cove","T","N.L.","97","104","-6.7","65","62","4.8","48","48","0.0","3.98","24.3","4,267","325"
"Ming's Bight","T","N.L.","298","319","-6.6","141","137","2.9","124","122","1.6","3.81","78.3","3,515","220"
"Musgrave Harbour","T","N.L.","946","990","-4.4","486","501","-3.0","413","417","-1.0","67.30","14.1","2,186","83"
"Nippers Harbour","T","N.L.","74","85","-12.9","66","64","3.1","34","37","-8.1","1.93","38.3","4,387","339"
"Pacquet","T","N.L.","145","164","-11.6","97","97","0.0","76","78","-2.6","14.44","10.0","4,077","297"
"Pilley's Island","T","N.L.","286","294","-2.7","186","155","20.0","135","133","1.5","34.65","8.3","3,554","226"
"Point Leamington","T","N.L.","574","591","-2.9","341","334","2.1","278","279","-0.4","26.80","21.4","2,772","136"
"Point of Bay","T","N.L.","137","154","-11.0","109","120","-9.2","67","71","-5.6","21.62","6.3","4,111","302"
"Port Anson","T","N.L.","42","130","-67.7","72","109","-33.9","23","56","-58.9","7.72","5.4","4,540","356"
"Robert's Arm","T","N.L.","722","805","-10.3","385","380","1.3","351","357","-1.7","36.09","20.0","2,485","104"
"Seal Cove (White Bay)","T","N.L.","281","303","-7.3","167","173","-3.5","131","143","-8.4","10.79","26.1","3,575","228"
"South Brook","T","N.L.","420","482","-12.9","243","256","-5.1","202","221","-8.6","8.72","48.1","3,113","173"
"Springdale","T","N.L.","2,965","2,971","-0.2","1,424","1,306","9.0","1,285","1,230","4.5","17.46","169.8","1,057","24"
"Summerford","T","N.L.","805","906","-11.1","432","467","-7.5","368","400","-8.0","16.04","50.2","2,362","96"
"Tilt Cove","T","N.L.","5","5","0.0","9","8","12.5","2","3","-33.3","3.10","1.6","4,760","364"
"Triton","T","N.L.","896","983","-8.9","457","454","0.7","390","406","-3.9","7.54","118.9","2,250","87"
"Twillingate","T","N.L.","2,121","2,196","-3.4","1,302","1,261","3.3","1,007","1,020","-1.3","25.60","82.8","1,333","37"
"Westport","T","N.L.","185","195","-5.1","124","118","5.1","84","82","2.4","5.23","35.4","3,908","271"
"Woodstock","T","N.L.","195","190","2.6","97","97","0.0","90","88","2.3","10.05","19.4","3,876","266"
"Anchor Point","T","N.L.","305","314","-2.9","131","130","0.8","122","124","-1.6","2.26","134.9","3,492","218"
"Bellburns","T","N.L.","52","53","-1.9","41","46","-10.9","29","26","11.5","8.83","5.9","4,501","351"
"Bird Cove","T","N.L.","175","179","-2.2","88","93","-5.4","81","76","6.6","7.69","22.8","3,954","281"
"Conche","T","N.L.","149","170","-12.4","120","125","-4.0","76","79","-3.8","10.03","14.9","4,060","295"
"Cook's Harbour","T","N.L.","118","123","-4.1","92","87","5.7","67","57","17.5","1.94","61.0","4,181","309"
"Cow Head","T","N.L.","398","428","-7.0","225","255","-11.8","184","203","-9.4","17.27","23.1","3,184","185"
"Daniel's Harbour","T","N.L.","220","253","-13.0","152","168","-9.5","114","119","-4.2","7.68","28.6","3,784","254"
"Division No.  9, Subd. A","SNO","N.L.","183","121","51.2","650","573","13.4","97","68","42.6","1,726.94","0.1","3,917","275"
"Division No.  9, Subd. C","SNO","N.L.","2,220","2,529","-12.2","1,220","1,249","-2.3","991","1,066","-7.0","1,842.14","1.2","1,297","34"
"Division No.  9, Subd. D","SNO","N.L.","534","643","-17.0","547","558","-2.0","266","291","-8.6","939.74","0.6","2,863","151"
"Division No.  9, Subd. F","SNO","N.L.","81","71","14.1","254","297","-14.5","42","32","31.3","4,933.82","0.0","4,344","335"
"Division No.  9, Subd. G","SNO","N.L.","96","41","134.1","139","148","-6.1","43","20","115.0","1,256.12","0.1","4,276","328"
"Division No.  9, Subd. H","SNO","N.L.","155","159","-2.5","250","221","13.1","74","76","-2.6","2,096.29","0.1","4,033","292"
"Englee","T","N.L.","489","527","-7.2","257","260","-1.2","215","216","-0.5","28.82","17.0","2,967","163"
"Flower's Cove","T","N.L.","272","270","0.7","144","133","8.3","119","110","8.2","6.77","40.2","3,604","233"
"Glenburnie-Birchy Head-Shoal Brook","T","N.L.","241","224","7.6","182","189","-3.7","111","102","8.8","6.52","36.9","3,718","247"
"Goose Cove East","T","N.L.","172","174","-1.1","87","79","10.1","70","69","1.4","2.71","63.5","3,968","284"
"Hawke's Bay","T","N.L.","297","315","-5.7","162","167","-3.0","142","139","2.2","46.41","6.4","3,519","221"
"Main Brook","T","N.L.","246","243","1.2","180","155","16.1","118","117","0.9","28.00","8.8","3,696","244"
"Norris Point","T","N.L.","602","670","-10.1","351","356","-1.4","263","282","-6.7","4.84","124.4","2,714","125"
"Parson's Pond","T","N.L.","368","345","6.7","216","207","4.3","177","157","12.7","12.34","29.8","3,290","195"
"Port Saunders","T","N.L.","678","674","0.6","319","312","2.2","284","281","1.1","38.50","17.6","2,567","112"
"Port au Choix","T","N.L.","742","789","-6.0","395","408","-3.2","360","363","-0.8","35.56","20.9","2,455","100"
"Raleigh","T","N.L.","150","177","-15.3","108","102","5.9","75","84","-10.7","11.27","13.3","4,055","294"
"River of Ponds","T","N.L.","173","215","-19.5","128","138","-7.2","85","96","-11.5","4.46","38.8","3,964","283"
"Rocky Harbour","T","N.L.","937","947","-1.1","556","523","6.3","436","428","1.9","12.08","77.6","2,197","84"
"Roddickton-Bide Arm","T","N.L.","928","999","-7.1","422","418","1.0","377","379","-0.5","45.14","20.6","2,209","85"
"Sally's Cove","T","N.L.","15","20","-25.0","29","30","-3.3","10","12","-16.7","4.61","3.3","4,694","363"
"St. Anthony","T","N.L.","2,180","2,258","-3.5","1,036","1,040","-0.4","924","920","0.4","37.46","58.2","1,309","35"
"St. Lunaire-Griquet","T","N.L.","603","604","-0.2","302","267","13.1","258","245","5.3","17.29","34.9","2,711","124"
"St. Pauls","T","N.L.","202","238","-15.1","101","111","-9.0","91","96","-5.2","6.34","31.9","3,862","263"
"Trout River","T","N.L.","508","552","-8.0","275","276","-0.4","210","221","-5.0","5.83","87.1","2,920","155"
"Woody Point, Bonne Bay","T","N.L.","244","282","-13.5","207","225","-8.0","129","135","-4.4","3.78","64.5","3,703","245"
"Cartwright, Labrador","T","N.L.","439","427","2.8","243","221","10.0","204","188","8.5","5.87","74.8","3,081","169"
"Charlottetown (Labrador)","T","N.L.","292","290","0.7","140","128","9.4","113","109","3.7","26.47","11.0","3,535","224"
"Division No. 10, Subd. A","SNO","N.L.","55","61","-9.8","31","38","-18.4","30","28","7.1","3,673.46","0.0","4,482","346"
"Division No. 10, Subd. B","SNO","N.L.","211","369","-42.8","206","242","-14.9","88","133","-33.8","35,501.56","0.0","3,831","258"
"Division No. 10, Subd. C 3","SNO","N.L.","54","71","-23.9","45","47","-4.3","26","29","-10.3","62,096.93","0.0","4,496","350"
"Division No. 10, Subd. D","SNO","N.L.","732","705","3.8","556","369","50.7","277","249","11.2","64,922.38","0.0","2,469","102"
"Division No. 10, Subd. E","SNO","N.L.","0","0","...","0","0","...","0","0","...","24,865.49","0.0","4,831","366"
"Forteau","T","N.L.","377","409","-7.8","181","193","-6.2","161","171","-5.8","7.50","50.3","3,255","191"
"Happy Valley-Goose Bay","T","N.L.","8,040","8,109","-0.9","3,390","3,271","3.6","3,072","3,031","1.4","304.52","26.4","511","9"
"L'Anse au Loup","T","N.L.","692","558","24.0","322","240","34.2","302","222","36.0","3.39","203.9","2,537","109"
"L'Anse-au-Clair","T","N.L.","219","216","1.4","111","103","7.8","98","90","8.9","60.65","3.6","3,791","255"
"Labrador City","T","N.L.","7,412","7,220","2.7","3,368","3,474","-3.1","3,070","2,909","5.5","34.11","217.3","557","11"
"Mary's Harbour","T","N.L.","312","341","-8.5","147","154","-4.5","121","125","-3.2","34.25","9.1","3,472","217"
"Natuashish 2 3","IRI","N.L.","856","938","-8.7","239","239","0.0","196","217","-9.7","44.01","19.5","2,298","90"
"North West River","T","N.L.","560","547","2.4","284","277","2.5","247","246","0.4","3.55","157.9","2,796","140"
"Pinware","T","N.L.","64","88","-27.3","31","50","-38.0","28","36","-22.2","4.08","15.7","4,437","343"
"Port Hope Simpson","T","N.L.","403","412","-2.2","186","176","5.7","159","152","4.6","32.02","12.6","3,169","184"
"Red Bay","T","N.L.","142","169","-16.0","69","92","-25.0","65","71","-8.5","2.31","61.3","4,089","299"
"Sheshatshiu 3 3","IRI","N.L.","1,225","1,500","-18.3","373","355","5.1","340","321","5.9","8.48","144.5","1,873","66"
"St. Lewis","T","N.L.","181","194","-6.7","93","89","4.5","72","74","-2.7","10.04","18.0","3,925","276"
"Wabush","T","N.L.","1,964","1,906","3.0","864","950","-9.1","798","741","7.7","42.42","46.3","1,402","41"
"West St. Modeste","T","N.L.","102","111","-8.1","62","61","1.6","51","52","-1.9","7.60","13.4","4,244","318"
"Division No. 11, Subd. C","SNO","N.L.","0","0","...","0","0","...","0","0","...","26,193.25","0.0","4,831","366"
"Division No. 11, Subd. E","SNO","N.L.","0","0","...","0","0","...","0","0","...","40,487.59","0.0","4,831","366"
"Hopedale","T","N.L.","596","574","3.8","208","196","6.1","193","184","4.9","2.18","273.7","2,722","126"
"Makkovik","T","N.L.","365","377","-3.2","154","148","4.1","142","137","3.6","2.95","123.5","3,302","196"
"Nain","T","N.L.","847","1,125","-24.7","266","362","-26.5","245","324","-24.4","93.50","9.1","2,315","91"
"Postville","T","N.L.","188","177","6.2","83","112","-25.9","75","75","0.0","2.39","78.7","3,895","268"
"Rigolet","T","N.L.","327","305","7.2","134","127","5.5","125","114","9.6","5.27","62.0","3,424","209"
"Annandale - Little Pond - Howe Bay 4","RM","P.E.I.","223","207","7.7","169","172","-1.7","92","80","15.0","31.87","7.0","3,778","79"
"Cardigan 4","FD","P.E.I.","125","124","0.8","54","59","-8.5","48","52","-7.7","50.18","2.5","4,150","91"
"Central Kings 4","FD","P.E.I.","135","98","37.8","56","51","9.8","51","37","37.8","33.02","4.1","4,118","90"
"Central Kings 4","RM","P.E.I.","386","349","10.6","176","173","1.7","155","136","14.0","72.94","5.3","3,218","54"
"East River, Part 2 4","FD","P.E.I.","575","487","18.1","308","367","-16.1","223","189","18.0","74.64","7.7","2,768","47"
"Eastern Kings 4","RM","P.E.I.","687","698","-1.6","499","618","-19.3","294","287","2.4","141.12","4.9","2,549","39"
"Morell 4","FD","P.E.I.","1,209","1,126","7.4","830","819","1.3","517","474","9.1","155.29","7.8","1,884","26"
"Morell","RM","P.E.I.","269","297","-9.4","131","137","-4.4","119","122","-2.5","1.49","180.3","3,614","71"
"Morell 2","IRI","P.E.I.","25","22","13.6","9","9","0.0","9","9","0.0","0.78","31.9","4,629","98"
"Murray Harbour","RM","P.E.I.","282","258","9.3","186","177","5.1","147","129","14.0","3.90","72.3","3,568","70"
